Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,,revenue,,,
708190158,Blue,175,0,113,01-01-2023,Week-1,Q1,2023,2920,2426,2750,41,0.831,Swipe ,Food,632.5,0,,3557.5,86.76829268,,
708193008,Blue,340,0,148,01-01-2023,Week-1,Q1,2023,14480,0,1616,43,0,Online ,Entertainment,387.84,0,,2343.84,54.50790698,,
708195633,Silver,110,1,70,01-01-2023,Week-1,Q1,2023,34516,1182,2440,54,0.034,Online ,Entertainment,488,0,,3038,56.25925926,,
708197358,Blue,225,0,111,01-01-2023,Week-1,Q1,2023,30543,264,7784,63,0.009,Online ,Food,622.72,1,,8631.72,137.0114286,,
708204033,Blue,295,0,86,01-01-2023,Week-1,Q1,2023,2980,2093,4132,70,0.702,Chip ,Travel,826.4,1,,5253.4,75.04857143,,
708205083,Blue,125,1,151,01-01-2023,Week-1,Q1,2023,1438.3,0,4815,81,0,Chip ,Travel,337.05,1,,5277.05,65.14876543,,
708207783,Blue,355,1,107,01-01-2023,Week-1,Q1,2023,1477,0,4680,80,0,Swipe ,Entertainment,514.8,1,,5549.8,69.3725,,
708208758,Blue,275,1,85,01-01-2023,Week-1,Q1,2023,1826,883,2199,48,0.484,Swipe ,Fuel,571.74,1,,3045.74,63.45291667,,
708211383,Blue,200,0,111,01-01-2023,Week-1,Q1,2023,2664,0,3906,74,0,Online ,Fuel,1054.62,1,,5160.62,69.73810811,,
708212658,Blue,190,1,70,01-01-2023,Week-1,Q1,2023,2193,1260,1799,47,0.575,Swipe ,Bills,521.71,1,,2510.71,53.4193617,,
708216108,Blue,300,1,93,01-01-2023,Week-1,Q1,2023,4088,1557,2250,39,0.381,Swipe ,Bills,157.5,1,,2707.5,69.42307692,,
708217758,Blue,475,0,96,01-01-2023,Week-1,Q1,2023,14035,2061,1606,30,0.147,Swipe ,Bills,385.44,1,,2466.44,82.21466667,,
708219108,Blue,300,1,95,01-01-2023,Week-1,Q1,2023,9959,1143,7300,77,0.115,Swipe ,Grocery,803,1,,8403,109.1298701,,
708219858,Blue,390,1,79,01-01-2023,Week-1,Q1,2023,6423,0,4295,70,0,Swipe ,Food,901.95,0,,5586.95,79.81357143,,
708222558,Blue,125,1,109,01-01-2023,Week-1,Q1,2023,2310,1513,4191,77,0.655,Chip ,Food,712.47,0,,5028.47,65.30480519,,
708223383,Blue,295,0,81,01-01-2023,Week-1,Q1,2023,11410,979,2736,38,0.086,Chip ,Bills,793.44,0,,3824.44,100.6431579,,
708224133,Blue,430,1,105,01-01-2023,Week-1,Q1,2023,2228,1480,4431,71,0.664,Swipe ,Grocery,841.89,0,,5702.89,80.32239437,,
708225483,Blue,200,1,68,01-01-2023,Week-1,Q1,2023,11242,1561,4246,81,0.139,Swipe ,Entertainment,806.74,0,,5252.74,64.84864198,,
708226833,Gold,415,0,96,01-01-2023,Week-1,Q1,2023,34516,831,13247,107,0.024,Swipe ,Food,1192.23,0,,14854.23,138.8245794,,
708229308,Blue,245,1,72,01-01-2023,Week-1,Q1,2023,3243,0,6059,71,0,Swipe ,Fuel,727.08,0,,7031.08,99.02929577,,
708231183,Blue,460,0,92,01-01-2023,Week-1,Q1,2023,12539,910,2643,72,0.073,Swipe ,Grocery,290.73,0,,3393.73,47.13513889,,
708234558,Blue,200,0,88,01-01-2023,Week-1,Q1,2023,2239,1340,4540,73,0.598,Chip ,Entertainment,635.6,0,,5375.6,73.63835616,,
708238833,Blue,365,1,61,01-01-2023,Week-1,Q1,2023,3032,2215,1387,30,0.731,Swipe ,Fuel,152.57,0,,1904.57,63.48566667,,
708241233,Blue,95,0,73,01-01-2023,Week-1,Q1,2023,2972,0,922,25,0,Swipe ,Bills,138.3,0,,1155.3,46.212,,
708242283,Blue,295,1,59,01-01-2023,Week-1,Q1,2023,5346,0,3253,80,0,Swipe ,Food,325.3,0,,3873.3,48.41625,,
708243483,Blue,250,0,119,01-01-2023,Week-1,Q1,2023,14938,1155,2248,51,0.077,Swipe ,Bills,427.12,0,,2925.12,57.35529412,,
708244458,Blue,405,1,91,01-01-2023,Week-1,Q1,2023,2793,1517,3485,72,0.543,Swipe ,Food,383.35,0,,4273.35,59.35208333,,
708245808,Gold,455,0,78,01-01-2023,Week-1,Q1,2023,19671,924,13908,124,0.047,Swipe ,Travel,2503.44,0,,16866.44,136.0196774,,
708248358,Silver,200,1,67,01-01-2023,Week-1,Q1,2023,29937,0,14863,109,0,Online ,Bills,1932.19,0,,16995.19,155.9191743,,
708249708,Blue,300,1,92,01-01-2023,Week-1,Q1,2023,4844,1576,1489,48,0.325,Swipe ,Fuel,253.13,0,,2042.13,42.544375,,
708252108,Blue,475,1,162,01-01-2023,Week-1,Q1,2023,7362,1907,4065,65,0.259,Chip ,Fuel,243.9,0,,4783.9,73.59846154,,
708253458,Blue,125,1,113,01-01-2023,Week-1,Q1,2023,5528,1823,4857,81,0.33,Swipe ,Food,1408.53,0,,6390.53,78.8954321,,
708254733,Blue,325,1,73,01-01-2023,Week-1,Q1,2023,2968,1873,5171,85,0.631,Swipe ,Fuel,1241.04,0,,6737.04,79.25929412,,
708255633,Blue,200,0,110,01-01-2023,Week-1,Q1,2023,3761,1710,3240,65,0.455,Swipe ,Fuel,550.8,0,,3990.8,61.39692308,,
708260208,Blue,150,1,86,01-01-2023,Week-1,Q1,2023,2057,1279,4321,76,0.622,Chip ,Food,1123.46,0,,5594.46,73.61131579,,
708266883,Blue,355,0,136,01-01-2023,Week-1,Q1,2023,1666,0,2312,35,0,Swipe ,Food,184.96,0,,2851.96,81.48457143,,
708267858,Blue,140,0,115,01-01-2023,Week-1,Q1,2023,6088,2145,2098,52,0.352,Swipe ,Entertainment,482.54,0,,2720.54,52.31807692,,
708269583,Blue,335,1,102,01-01-2023,Week-1,Q1,2023,2029,1377,4014,86,0.679,Chip ,Entertainment,1003.5,0,,5352.5,62.23837209,,
708271833,Silver,195,1,63,01-01-2023,Week-1,Q1,2023,15069,1843,3464,67,0.122,Online ,Bills,831.36,0,,4490.36,67.02029851,,
708272808,Blue,150,0,76,01-01-2023,Week-1,Q1,2023,2718,1474,3542,59,0.542,Chip ,Fuel,566.72,0,,4258.72,72.18169492,,
708273858,Blue,355,1,112,01-01-2023,Week-1,Q1,2023,34516,0,3734,80,0,Swipe ,Fuel,522.76,0,,4611.76,57.647,,
708276183,Blue,375,0,91,01-01-2023,Week-1,Q1,2023,1760,0,1554,35,0,Swipe ,Bills,279.72,0,,2208.72,63.10628571,,
708281433,Blue,335,0,81,01-01-2023,Week-1,Q1,2023,1438.3,0,3848,75,0,Swipe ,Food,269.36,0,,4452.36,59.3648,,
708285108,Blue,420,1,80,01-01-2023,Week-1,Q1,2023,6128,2239,13505,116,0.365,Swipe ,Fuel,1620.6,1,,15545.6,134.0137931,,
708286683,Blue,250,0,67,01-01-2023,Week-1,Q1,2023,12045,1749,4884,86,0.145,Swipe ,Bills,1123.32,1,,6257.32,72.75953488,,
708288108,Blue,360,1,118,01-01-2023,Week-1,Q1,2023,5639,1547,647,15,0.274,Swipe ,Bills,135.87,1,,1142.87,76.19133333,,
708290208,Silver,355,1,109,01-01-2023,Week-1,Q1,2023,13608,1190,3118,76,0.087,Chip ,Entertainment,841.86,1,,4314.86,56.77447368,,
708291633,Blue,390,1,100,01-01-2023,Week-1,Q1,2023,4651,2499,5097,79,0.537,Swipe ,Entertainment,1223.28,1,,6710.28,84.94025316,,
708292833,Blue,150,1,59,01-01-2023,Week-1,Q1,2023,27389,1250,2754,60,0.046,Online ,Bills,247.86,1,,3151.86,52.531,,
708295533,Blue,250,0,106,01-01-2023,Week-1,Q1,2023,3549,1880,1215,22,0.53,Swipe ,Travel,230.85,1,,1695.85,77.08409091,,
708296883,Blue,280,0,93,01-01-2023,Week-1,Q1,2023,11749,788,1178,27,0.067,Swipe ,Travel,259.16,1,,1717.16,63.59851852,,
708298233,Blue,125,0,72,01-01-2023,Week-1,Q1,2023,6184,0,1756,49,0,Swipe ,Fuel,456.56,1,,2337.56,47.70530612,,
708300483,Blue,245,0,110,01-01-2023,Week-1,Q1,2023,7882,605,704,16,0.077,Swipe ,Travel,197.12,1,,1146.12,71.6325,,
708301683,Blue,125,0,89,01-01-2023,Week-1,Q1,2023,20798,1059,8038,90,0.051,Swipe ,Food,2009.5,0,,10172.5,113.0277778,,
708303108,Blue,175,0,88,01-01-2023,Week-1,Q1,2023,1770,1706,4940,94,0.964,Swipe ,Grocery,1037.4,0,,6152.4,65.45106383,,
708307533,Blue,345,0,89,01-01-2023,Week-1,Q1,2023,3086,0,4129,81,0,Swipe ,Food,371.61,0,,4845.61,59.82234568,,
708313608,Blue,245,1,61,01-01-2023,Week-1,Q1,2023,2464,2116,2110,43,0.859,Swipe ,Food,274.3,0,,2629.3,61.14651163,,
708314808,Blue,100,1,111,01-01-2023,Week-1,Q1,2023,5659,1393,1570,40,0.246,Swipe ,Fuel,298.3,0,,1968.3,49.2075,,
708316008,Blue,345,1,108,01-01-2023,Week-1,Q1,2023,10031,0,1792,29,0,Swipe ,Fuel,394.24,0,,2531.24,87.28413793,,
708319908,Blue,300,0,92,01-01-2023,Week-1,Q1,2023,4116,1473,8667,70,0.358,Online ,Travel,1820.07,0,,10787.07,154.101,,
708323208,Blue,290,1,118,01-01-2023,Week-1,Q1,2023,1522,0,2241,36,0,Swipe ,Food,403.38,0,,2934.38,81.51055556,,
708324483,Blue,290,1,70,01-01-2023,Week-1,Q1,2023,1548,0,4420,71,0,Chip ,Bills,707.2,0,,5417.2,76.29859155,,
708330858,Blue,250,1,133,01-01-2023,Week-1,Q1,2023,8249,1381,678,11,0.167,Swipe ,Travel,122.04,0,,1050.04,95.45818182,,
708331758,Silver,250,0,120,01-01-2023,Week-1,Q1,2023,32444,1843,3725,60,0.057,Swipe ,Fuel,409.75,0,,4384.75,73.07916667,,
708332808,Blue,470,1,111,01-01-2023,Week-1,Q1,2023,3471,0,14381,115,0,Swipe ,Fuel,3163.82,0,,18014.82,156.6506087,,
708334158,Blue,200,0,98,01-01-2023,Week-1,Q1,2023,9863,686,3068,58,0.07,Chip ,Entertainment,306.8,0,,3574.8,61.63448276,,
708337683,Blue,465,1,98,01-01-2023,Week-1,Q1,2023,21800,893,3820,62,0.041,Chip ,Entertainment,573,0,,4858,78.35483871,,
708338958,Blue,200,1,54,01-01-2023,Week-1,Q1,2023,3173,1713,3797,75,0.54,Chip ,Bills,341.73,0,,4338.73,57.84973333,,
708340758,Blue,300,0,88,01-01-2023,Week-1,Q1,2023,7769,0,8109,74,0,Chip ,Grocery,1054.17,0,,9463.17,127.8806757,,
708341958,Blue,175,1,75,01-01-2023,Week-1,Q1,2023,2061,1904,4480,86,0.924,Swipe ,Food,716.8,0,,5371.8,62.4627907,,
708344358,Blue,125,1,81,01-01-2023,Week-1,Q1,2023,2495,1354,1311,31,0.543,Swipe ,Travel,249.09,0,,1685.09,54.35774194,,
708347583,Blue,465,1,42,01-01-2023,Week-1,Q1,2023,2509,1144,1804,38,0.456,Swipe ,Grocery,378.84,0,,2647.84,69.68,,
708354858,Blue,200,0,58,01-01-2023,Week-1,Q1,2023,14938,0,8192,80,0,Swipe ,Bills,491.52,0,,8883.52,111.044,,
708355683,Blue,285,0,46,01-01-2023,Week-1,Q1,2023,16815,0,2976,65,0,Swipe ,Fuel,624.96,0,,3885.96,59.784,,
708357183,Blue,300,1,139,01-01-2023,Week-1,Q1,2023,1438.3,0,3511,64,0,Chip ,Fuel,702.2,0,,4513.2,70.51875,,
708358683,Silver,100,0,92,01-01-2023,Week-1,Q1,2023,34516,1236,1665,40,0.036,Swipe ,Bills,449.55,0,,2214.55,55.36375,,
708360108,Blue,245,1,71,01-01-2023,Week-1,Q1,2023,2800,1338,4869,90,0.478,Chip ,Grocery,779.04,0,,5893.04,65.47822222,,
708361833,Blue,460,0,76,01-01-2023,Week-1,Q1,2023,19430,0,3650,80,0,Swipe ,Fuel,511,0,,4621,57.7625,,
708367908,Blue,190,0,87,01-01-2023,Week-1,Q1,2023,3022,1627,4390,82,0.538,Chip ,Bills,614.6,1,,5194.6,63.34878049,,
708369633,Gold,250,1,100,01-01-2023,Week-1,Q1,2023,15487,1847,7031,67,0.119,Swipe ,Bills,1054.65,1,,8335.65,124.4126866,,
708371733,Blue,300,1,83,01-01-2023,Week-1,Q1,2023,4662,0,4931,81,0,Swipe ,Fuel,1084.82,1,,6315.82,77.97308642,,
708373083,Blue,175,1,110,01-01-2023,Week-1,Q1,2023,3356,2517,2032,39,0.75,Swipe ,Fuel,467.36,1,,2674.36,68.57333333,,
708375858,Blue,405,0,83,01-01-2023,Week-1,Q1,2023,2776,1341,4318,68,0.483,Swipe ,Grocery,302.26,1,,5025.26,73.90088235,,
708376983,Blue,485,1,149,01-01-2023,Week-1,Q1,2023,8513,799,2119,37,0.094,Swipe ,Food,127.14,1,,2731.14,73.81459459,,
708378108,Blue,245,0,97,01-01-2023,Week-1,Q1,2023,2147,771,4631,76,0.359,Chip ,Bills,787.27,0,,5663.27,74.51671053,,
708382083,Blue,245,1,93,01-01-2023,Week-1,Q1,2023,2292,0,2584,60,0,Swipe ,Bills,335.92,0,,3164.92,52.74866667,,
708384033,Blue,420,1,108,01-01-2023,Week-1,Q1,2023,2745,2463,2466,39,0.897,Swipe ,Food,345.24,0,,3231.24,82.85230769,,
708385533,Silver,335,1,99,01-01-2023,Week-1,Q1,2023,11059,0,9524,80,0,Chip ,Grocery,1523.84,0,,11382.84,142.2855,,
708386958,Blue,245,1,88,01-01-2023,Week-1,Q1,2023,1561,0,1947,28,0,Swipe ,Bills,175.23,0,,2367.23,84.54392857,,
708387933,Blue,195,0,114,01-01-2023,Week-1,Q1,2023,5500,0,14357,110,0,Swipe ,Bills,1435.7,0,,15987.7,145.3427273,,
708390633,Blue,475,0,81,01-01-2023,Week-1,Q1,2023,2421,2312,4219,69,0.955,Chip ,Bills,295.33,0,,4989.33,72.30913043,,
708393633,Blue,190,0,66,01-01-2023,Week-1,Q1,2023,2685,1647,4625,94,0.613,Chip ,Fuel,370,0,,5185,55.15957447,,
708394908,Blue,365,1,56,01-01-2023,Week-1,Q1,2023,2337,1442,3945,65,0.617,Chip ,Entertainment,276.15,0,,4586.15,70.55615385,,
708396033,Blue,175,0,80,01-01-2023,Week-1,Q1,2023,2490,1059,12257,101,0.425,Swipe ,Bills,3064.25,0,,15496.25,153.4282178,,
708397008,Blue,200,1,70,01-01-2023,Week-1,Q1,2023,3805,821,4326,67,0.216,Swipe ,Food,865.2,0,,5391.2,80.46567164,,
708398283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,4394,885,1377,32,0.201,Swipe ,Bills,275.4,0,,1777.4,55.54375,,
708399858,Blue,415,1,68,01-01-2023,Week-1,Q1,2023,2548,2250,4747,77,0.883,Swipe ,Entertainment,712.05,0,,5874.05,76.28636364,,
708402333,Blue,395,1,68,01-01-2023,Week-1,Q1,2023,4549,1313,4782,88,0.289,Chip ,Fuel,1243.32,0,,6420.32,72.95818182,,
708403308,Silver,425,1,99,01-01-2023,Week-1,Q1,2023,15133,1663,4392,68,0.11,Chip ,Bills,570.96,0,,5387.96,79.23470588,,
708404883,Blue,370,0,93,01-01-2023,Week-1,Q1,2023,27804,0,2761,57,0,Chip ,Entertainment,745.47,0,,3876.47,68.00824561,,
708406083,Blue,380,1,111,01-01-2023,Week-1,Q1,2023,3436,2493,5211,90,0.726,Online ,Bills,1094.31,0,,6685.31,74.28122222,,
708412758,Blue,140,1,47,01-01-2023,Week-1,Q1,2023,1457,0,2200,45,0,Chip ,Food,374,0,,2714,60.31111111,,
708414033,Blue,245,0,93,01-01-2023,Week-1,Q1,2023,2845,1153,3730,66,0.405,Swipe ,Fuel,634.1,0,,4609.1,69.83484848,,
708416433,Blue,125,1,73,01-01-2023,Week-1,Q1,2023,2372,0,2499,41,0,Swipe ,Grocery,449.82,0,,3073.82,74.97121951,,
708419733,Blue,365,0,66,01-01-2023,Week-1,Q1,2023,22599,0,4739,55,0,Swipe ,Food,1374.31,0,,6478.31,117.7874545,,
708421833,Blue,390,0,85,01-01-2023,Week-1,Q1,2023,3342,2517,1139,30,0.753,Online ,Bills,193.63,0,,1722.63,57.421,,
708423933,Blue,450,1,57,01-01-2023,Week-1,Q1,2023,6103,0,3203,64,0,Swipe ,Bills,288.27,0,,3941.27,61.58234375,,
708426483,Blue,455,0,105,01-01-2023,Week-1,Q1,2023,5816,716,3534,73,0.123,Swipe ,Entertainment,530.1,0,,4519.1,61.90547945,,
708427908,Blue,395,1,100,01-01-2023,Week-1,Q1,2023,2035,1343,4643,86,0.66,Chip ,Fuel,325.01,0,,5363.01,62.3605814,,
708428958,Gold,345,0,110,01-01-2023,Week-1,Q1,2023,34516,0,9179,113,0,Swipe ,Bills,2019.38,0,,11543.38,102.1538053,,
708431433,Blue,225,1,115,01-01-2023,Week-1,Q1,2023,11789,1420,1463,32,0.12,Swipe ,Bills,365.75,0,,2053.75,64.1796875,,
708433683,Blue,125,0,121,01-01-2023,Week-1,Q1,2023,3164,2201,4410,86,0.696,Online ,Entertainment,1146.6,0,,5681.6,66.06511628,,
708434733,Blue,385,0,89,01-01-2023,Week-1,Q1,2023,6735,2289,1249,28,0.34,Swipe ,Grocery,262.29,1,,1896.29,67.72464286,,
708438033,Blue,175,1,78,01-01-2023,Week-1,Q1,2023,3049,2198,2617,48,0.721,Swipe ,Entertainment,575.74,1,,3367.74,70.16125,,
708442158,Blue,275,0,127,01-01-2023,Week-1,Q1,2023,6182,1516,3801,61,0.245,Chip ,Bills,988.26,1,,5064.26,83.02065574,,
708445608,Blue,490,0,43,01-01-2023,Week-1,Q1,2023,3305,2517,2027,57,0.762,Swipe ,Entertainment,222.97,1,,2739.97,48.06964912,,
708446808,Blue,250,1,87,01-01-2023,Week-1,Q1,2023,2946,1359,2017,48,0.461,Swipe ,Bills,564.76,1,,2831.76,58.995,,
708447858,Blue,385,0,92,01-01-2023,Week-1,Q1,2023,3850,0,15107,117,0,Chip ,Entertainment,2417.12,1,,17909.12,153.0694017,,
708450033,Blue,465,1,77,01-01-2023,Week-1,Q1,2023,2605,2269,5298,79,0.871,Swipe ,Fuel,370.86,1,,6133.86,77.64379747,,
708451233,Blue,410,1,83,01-01-2023,Week-1,Q1,2023,5090,1650,3707,72,0.324,Swipe ,Fuel,593.12,1,,4710.12,65.41833333,,
708453408,Blue,355,0,93,01-01-2023,Week-1,Q1,2023,16050,0,3721,62,0,Swipe ,Bills,893.04,1,,4969.04,80.14580645,,
708455883,Blue,175,1,44,01-01-2023,Week-1,Q1,2023,10244,861,1127,29,0.084,Swipe ,Bills,202.86,0,,1504.86,51.89172414,,
708459633,Blue,380,1,92,01-01-2023,Week-1,Q1,2023,5815,1698,1604,42,0.292,Swipe ,Entertainment,352.88,0,,2336.88,55.64,,
708462258,Silver,270,1,83,01-01-2023,Week-1,Q1,2023,5189,1171,16563,94,0.226,Chip ,Travel,1821.93,0,,18654.93,198.4567021,,
708469533,Blue,250,1,66,01-01-2023,Week-1,Q1,2023,5395,1439,3523,79,0.267,Chip ,Fuel,493.22,0,,4266.22,54.00278481,,
708472008,Blue,325,0,105,01-01-2023,Week-1,Q1,2023,6680,1839,7632,95,0.275,Swipe ,Bills,1984.32,0,,9941.32,104.6454737,,
708473133,Blue,150,1,111,01-01-2023,Week-1,Q1,2023,1677,0,4588,68,0,Chip ,Fuel,1284.64,0,,6022.64,88.56823529,,
708474333,Blue,465,0,89,01-01-2023,Week-1,Q1,2023,12294,2517,7906,87,0.205,Online ,Bills,790.6,0,,9161.6,105.3057471,,
708476808,Blue,320,0,124,01-01-2023,Week-1,Q1,2023,33791,1960,1047,31,0.058,Swipe ,Bills,188.46,0,,1555.46,50.17612903,,
708478233,Blue,395,1,119,01-01-2023,Week-1,Q1,2023,5573,1238,4348,90,0.222,Swipe ,Fuel,869.6,0,,5612.6,62.36222222,,
